<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.09	04:00:00	2659.335	2659.792	2656.781	2656.866	1705	0	159
2025.01.09	04:30:00	2656.869	2659.140	2655.471	2658.923	1958	0	159
2025.01.09	05:00:00	2658.926	2660.960	2658.785	2659.110	2259	0	159
2025.01.09	05:30:00	2659.073	2659.900	2657.555	2658.264	2611	0	159
2025.01.09	06:00:00	2658.259	2661.043	2658.259	2660.824	2096	0	160
2025.01.09	06:30:00	2660.787	2666.973	2660.452	2666.702	2934	0	159
2025.01.09	07:00:00	2666.735	2666.735	2664.809	2665.348	2378	0	160
2025.01.09	07:30:00	2665.349	2666.288	2662.328	2662.450	2776	0	159
2025.01.09	08:00:00	2662.418	2665.372	2660.435	2664.784	3700	0	159
2025.01.09	08:30:00	2664.818	2666.962	2661.165	2664.409	3861	0	159
2025.01.09	09:00:00	2664.458	2665.396	2662.302	2663.830	3339	0	159
2025.01.09	09:30:00	2663.815	2666.552	2663.081	2664.976	2897	0	159
2025.01.09	10:00:00	2664.995	2666.804	2664.477	2666.172	2368	0	160
2025.01.09	10:30:00	2666.208	2668.581	2665.273	2667.419	2802	0	160
2025.01.09	11:00:00	2667.471	2672.507	2665.246	2670.918	4511	0	159
2025.01.09	11:30:00	2670.943	2673.299	2668.589	2670.249	4007	0	159
2025.01.09	12:00:00	2670.206	2672.955	2669.456	2672.242	3385	0	159
2025.01.09	12:30:00	2672.217	2675.178	2671.270	2674.021	3342	0	159
2025.01.09	13:00:00	2674.001	2676.933	2671.985	2674.892	5566	0	159
2025.01.09	13:30:00	2674.977	2678.351	2672.038	2672.715	4878	0	159
2025.01.09	14:00:00	2672.691	2673.672	2667.196	2669.523	4622	0	159
2025.01.09	14:30:00	2669.545	2675.797	2669.545	2672.486	4953	0	160
2025.01.09	15:00:00	2672.485	2675.427	2670.535	2671.999	4747	0	159
2025.01.09	15:30:00	2672.068	2675.205	2668.091	2668.326	4508	0	159
2025.01.09	16:00:00	2668.320	2671.039	2666.905	2668.814	3764	0	159
2025.01.09	16:30:00	2668.814	2670.225	2666.291	2667.496	3667	0	159
2025.01.09	17:00:00	2667.465	2668.608	2663.295	2665.054	4341	0	159
2025.01.09	17:30:00	2665.080	2666.759	2662.691	2665.938	3320	0	159
2025.01.09	18:00:00	2665.897	2671.938	2665.041	2670.026	4339	0	159
2025.01.09	18:30:00	2669.991	2672.510	2669.686	2671.324	3041	0	159
2025.01.09	19:00:00	2671.366	2671.788	2668.552	2670.150	2818	0	159
2025.01.09	19:30:00	2670.054	2671.175	2669.185	2670.190	2616	0	159
2025.01.09	20:00:00	2670.154	2670.908	2669.266	2670.396	1905	0	160
2025.01.09	20:30:00	2670.406	2670.720	2669.247	2669.530	1640	0	160
2025.01.09	21:00:00	2669.534	2669.804	2668.957	2669.654	800	0	159
2025.01.09	21:30:00	2669.651	2671.332	2669.033	2669.984	1190	0	160
2025.01.09	23:00:00	2670.696	2671.318	2670.043	2670.729	1458	0	159
2025.01.09	23:30:00	2670.695	2670.775	2668.492	2669.950	1317	0	159
2025.01.10	00:00:00	2669.978	2670.649	2668.973	2670.024	1515	0	160
2025.01.10	00:30:00	2669.965	2671.213	2669.667	2670.498	2027	0	160
2025.01.10	01:00:00	2670.528	2671.832	2669.225	2671.372	3022	0	160
2025.01.10	01:30:00	2671.438	2671.654	2669.564	2670.952	2663	0	159
2025.01.10	02:00:00	2670.925	2674.319	2670.520	2673.424	2768	0	159
2025.01.10	02:30:00	2673.465	2674.729	2672.666	2673.486	2631	0	159
2025.01.10	03:00:00	2673.517	2674.437	2672.468	2674.319	2142	0	159
2025.01.10	03:30:00	2674.372	2674.771	2673.030	2673.658	1800	0	159
2025.01.10	04:00:00	2673.631	2674.067	2672.723	2673.076	1527	0	160
2025.01.10	04:30:00	2673.078	2673.185	2671.825	2671.855	1681	0	160
2025.01.10	05:00:00	2671.813	2674.355	2671.556	2674.084	1780	0	159
2025.01.10	05:30:00	2674.145	2675.891	2673.015	2674.916	2665	0	160
